Name,Aliases,Nationality,Ethnicity,Date of Birth,Career start,Cup,Bra,Bust,Waist,Hip,Weight,Height
Dee Vine,Aurelia Karolina,Polish,Caucasian,1998,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,49 kg,167 cm
Lexi Lowe,Lexy Lowe,Unknown,Caucasian,"July 17, 1988",2010,Unknown,Unknown,Unknown,Unknown,Unknown,57 kg,175 cm
Aria Taylor,Unknown,American,Caucasian,"April 21, 2001",2020,DD,34DD,86,66 cm,96 cm,59 kg,162 cm
Aubrey Lovelace,Unknown,American,Caucasian,"January 1, 1999",2020,Unknown,Unknown,Unknown,Unknown,Unknown,56 kg,170 cm
Danica Mori,Danika Mori,Unknown,Caucasian,"September 10, 1994",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61 kg,154 cm
La Paisita,Unknown,Unknown,Latin,"October 16, 1987",2021,D,36D,91,68 cm,96 cm,59 kg,167 cm
Ainsley Adams,Unknown,Unknown,Caucasian,"January 1, 1972",2021,Unknown,Unknown,86,60 cm,86 cm,Unknown,172 cm
Isabella Taylor,"Isabella De Santos, Isabella DeSantos",Unknown,Latin,"October 20, 1987",2012,B,34B,86,63 cm,86 cm,51 kg,154 cm
Mickey Violet,Unknown,Unknown,Latin,"January 29, 2001",2022,A,32A,81,60 cm,86 cm,47 kg,154 cm
Jada Kai,Unknown,Unknown,Asian,"June 6, 1990",2017,D,32D,81,55 cm,81 cm,44 kg,149 cm
Heather Starlet,"Heather Starlett, Janie Summers",Unknown,Caucasian,"August 14, 1989",2009,B,36B,91,66 cm,91 cm,59 kg,170 cm
Cynthia Vellons,"Cherry Cream, Eva Totova, Cynthia Avalon, Cyn Vell, Cynthia Vellows, Cynthia Wellons, Virus Vellons",Unknown,Caucasian,"June 12, 1984",2006,D,34D,86,66 cm,91 cm,46 kg,162 cm
Sage Rabbit,Unknown,American,Caucasian,2004,2023,B,Unknown,Unknown,Unknown,Unknown,56 kg,Unknown
Lucy Mae,"Pippa McVitie, Pippa Doll, Evie",Unknown,Caucasian,"October 19, 1993",2015,B,34B,86,60 cm,86 cm,49 kg,162 cm
Ole Nina,Daniela D,Unknown,Caucasian,Unknown,2017,C,36C,91,71 cm,88 cm,49 kg,157 cm
Simone Style,"Stella, Simonne, Hailey Hardcore, Lize Polaster, Jessica, Yessyca, Simmone Style, Simonne Peach, Simona Style, Simona D, Anita Paycheck, Simonne Style, Simon Peach, Lisette, Yvonne Peach, Simona Galas, Simone Miranda, Jessy, Simona, Simony Style, Simone' Style, Jessica D., Simona Diamond, Simone Fox, Mandy Jaxo, Yessica, Katja",Unknown,Caucasian,"November 10, 1983",2003,B,34B,86,58 cm,91 cm,59 kg,160 cm
Mary Bambola,Unknown,Unknown,Caucasian,"September 8, 2002",2022,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kendra James,"Lauren Lancealot, Molly Gingham, Holly Jane",American,Caucasian,"January 25, 1981",2005,C,34C,86,63 cm,88 cm,51 kg,167 cm
Sheridan Love,Unknown,Unknown,Caucasian,"October 13, 1984",2011,Unknown,Unknown,Unknown,Unknown,Unknown,56 kg,149 cm
Salina Shein,Unknown,Czech,Caucasian,Unknown,2023,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bella Jane,Unknown,Unknown,Caucasian,"May 9, 1994",Unknown,C,34C,86,66 cm,96 cm,49 kg,154 cm
Black Angel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Madison Hart,Madison Heart,American,Caucasian,January 1998,2016,B,32B,81,63 cm,88 cm,48 kg,149 cm
Milana Ricci,"Milana May, RiRi Poison, Milana XXX May",Unknown,Caucasian,"August 8, 1998",2017,B,32B,81,63 cm,91 cm,49 kg,157 cm
Savannah Fox,Savannah Foxxx,American,Caucasian,"September 2, 1987",2013,B,34B,86,71 cm,101 cm,51 kg,157 cm
Naomi Blue,Naomi Porter,Unknown,Caucasian,"October 12, 1999",2018,B,32B,81,60 cm,86 cm,51 kg,165 cm
Mara Blake,Unknown,Unknown,Caucasian,"January 1, 1995",2020,B,34B,86,63 cm,88 cm,49 kg,175 cm
Sky Alexis,Unknown,American,Black,"August 12, 2003",2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,154 cm
Callie Black,Unknown,Unknown,Caucasian,"November 1, 1996",Unknown,D,34D,86,66 cm,81 cm,54 kg,170 cm
Alisha Adams,Unknown,Unknown,Caucasian,"November 10, 1990",2012,C,34C,86,71 cm,88 cm,54 kg,167 cm
Saki Kawanami,"Miyu Shiratori, Chinatsu Aoki, Haru Imaga, Emiru Kitano, Yasuko Gachinco, Eri Sakai, Kumi Syamoto, Izumi Asato, Nami Amami",Unknown,Asian,"September 8, 1991",2013,E,34E,86,58 cm,86 cm,46 kg,154 cm
Jenna Jameson,"Daisy Maze, Jenna Jamison, Daisy Holliday, Jenna Marie Massoli",American,Caucasian,"April 9, 1974",1993,D,36D,91,55 cm,83 cm,46 kg,165 cm
Allie Haze,Brittany Joy,Unknown,Caucasian,"May 10, 1987",2009,A,32A,81,66 cm,96 cm,56 kg,162 cm
Priya Price,"BonnyBlue, Bonnyblue Galstaun, Prya Price",Unknown,Latin,"April 29, 1992",2015,Unknown,Unknown,Unknown,Unknown,Unknown,57 kg,154 cm
Sara Retali,Unknown,Venezuelan,Latin,"October 26, 1990",2021,D,36D,91,63 cm,Unknown,57 kg,157 cm
Alice Maze,Unknown,Belgian,Caucasian,Unknown,2021,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sonny Mckinley,Unknown,American,Caucasian,1998,Unknown,C,32C,81,Unknown,Unknown,Unknown,Unknown
Lana Analise,Lana Anal,Unknown,Caucasian,"March 13, 1994",2019,B,34B,86,73 cm,86 cm,59 kg,162 cm
Alyssa Branch,Mindy Belle,Unknown,Caucasian,"February 17, 1992",2011,Unknown,Unknown,Unknown,Unknown,Unknown,54 kg,160 cm
Ada Sanchez,Unknown,American,Latin,"December 28, 1994",2015,F,36F,91,60 cm,91 cm,49 kg,149 cm
Katy Jayne,Katy Jane,Unknown,Caucasian,"April 27, 1988",Unknown,G,32G,81,66 cm,81 cm,56 kg,162 cm
Natalie Porkman,"Natalie Parkman, Nataly Porkman",Unknown,Caucasian,"July 27, 2000",2019,B,32B,81,60 cm,86 cm,54 kg,172 cm
Leelu Small,Leely Small,Unknown,Caucasian,"July 25, 2004",2023,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alicia Williams,Victoria,American,Caucasian,"March 14, 2001",2019,B,34B,86,58 cm,76 cm,40 kg,157 cm
Alexis May,"Lexi May, Alexis Folsome",Unknown,Caucasian,"January 17, 1983",2004,DD,34DD,86,60 cm,83 cm,49 kg,154 cm
Paige F,Courtney Fox,Unknown,Caucasian,"April 30, 1983",2019,C,34C,86,63 cm,88 cm,Unknown,172 cm
Stormy Daniels,"Stormy Waters, Stephanie Gregory Clifford, Stormie",American,Caucasian,"March 17, 1979",2000,DD,36DD,91,60 cm,91 cm,56 kg,167 cm
Teagan Presley,"Tegan Presley, Teagan Presly",American,Caucasian,"July 24, 1985",2004,D,34D,86,60 cm,86 cm,46 kg,154 cm
Cipriana Maxima,"Cipriana A, Juliette, Cipriana S, Julietta, Niki, Julia Shepkina, Cypriana",Unknown,Caucasian,"March 12, 1990",2010,B,32B,81,60 cm,91 cm,49 kg,167 cm
Abbey Rain,"Robin Hearts, Abby Rain, Julie Snow, Abby Rains",American,Caucasian,"June 18, 1995",2015,C,32C,81,63 cm,83 cm,48 kg,165 cm
Lezley Zen,"Lesley Zen, Leslie Zen, Lezly Zen",Unknown,Caucasian,"February 19, 1974",1998,D,34D,86,60 cm,88 cm,49 kg,167 cm
Lucy Mochi,"Asian Mochi, LucysMochi",American,Asian,"May 6, 2003",Unknown,A,30A,76,58 cm,86 cm,49 kg,160 cm
Ari Alectra,Unknown,Unknown,Latin,"January 26, 1995",2022,Unknown,Unknown,Unknown,Unknown,Unknown,56 kg,167 cm
Sasha Reign,Unknown,Unknown,Latin,2002,2025,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,162 cm
Olivia Linz,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Moriah Mills,Raven Athena,Unknown,Black,"October 17, 1991",2017,DDD,34DDD,86,63 cm,109 cm,56 kg,160 cm
Sunny Lane,"Holly Hodges, Sunshine Lane",American,Caucasian,Unknown,2005,C,34C,86,60 cm,86 cm,44 kg,149 cm
Reina Heart,Unknown,Unknown,Latin,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,41 kg,157 cm
Eva Murkovski,Unknown,Russian,Caucasian,"October 5, 2005",2023,B,32B,81,66 cm,86 cm,48 kg,165 cm
Sara Bell,Unknown,Unknown,Caucasian,"August 5, 1999",2018,Unknown,Unknown,Unknown,Unknown,Unknown,48 kg,165 cm
Hannah Vivienne,Unknown,Unknown,Caucasian,"June 26, 1989",2017,A,36A,91,68 cm,101 cm,67 kg,172 cm
Selena Adams,Unknown,Unknown,Latin,"June 6, 1989",2015,DDD,34DDD,86,78 cm,111 cm,72 kg,162 cm
Nicky Mami,"Nicki Roxx, Foreign Baddie",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Chrissy Fox,"Crissy Fox, Krisy Fox",Czech,Caucasian,"December 12, 1993",2015,C,36C,91,63 cm,96 cm,61 kg,165 cm
Dollie Darko,"Dolly Darko, Fabrizia Suicide",Unknown,Caucasian,Unknown,2014,DD,32DD,81,58 cm,86 cm,49 kg,154 cm
Maria Wars,Maria Teen,Spanish,Latin,"October 7, 1999",2020,C,34C,86,63 cm,88 cm,41 kg,149 cm
Constancia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Miss Olivia,Unknown,Unknown,Caucasian,"May 8, 2003",2021,C,36C,91,60 cm,88 cm,Unknown,154 cm
Melrose Michaels,Unknown,Unknown,Caucasian,Unknown,2020,DD,36DD,91,60 cm,91 cm,Unknown,160 cm
Ashley Coda,"Ashley Hey, Ashley Sweet, Ashley Hay",Unknown,Caucasian,"February 19, 1984",2008,B,34B,86,71 cm,88 cm,54 kg,157 cm
Chloe Vevrier,"Chloe Vee, Chloe Zee",German,Caucasian,"September 18, 1968",1990,L,46L,116,66 cm,91 cm,54 kg,157 cm
Nikki Zee,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Violet Moore,Violet Reign,American,Caucasian,"March 1, 2004",2022,Unknown,Unknown,Unknown,Unknown,Unknown,58 kg,165 cm
Lina Love,"Linda, Dianna Wells, Olya, Lena Love, Galina, Lina A, Yana, Alena E, Alice, Lina Miles, Sveta, Alina, Emily, Lena Lovely, Gwen, Bailey, Diana Wells, Stefany, Selena, Tina, Alena, Lena, Lina X",Unknown,Caucasian,Unknown,2012,B,34B,86,60 cm,91 cm,44 kg,154 cm
Bryci,Miss B,Unknown,Caucasian,Unknown,2006,Unknown,Unknown,Unknown,Unknown,Unknown,45 kg,157 cm
August Ames,"Hailey Edwards, August Aimes, Augustus Ames",Canadian,Caucasian,"August 23, 1994",2013,D,32D,81,58 cm,71 cm,51 kg,165 cm
Sage Fox,Unknown,Unknown,Caucasian,"November 18, 2000",2019,Unknown,Unknown,81,58 cm,73 cm,43 kg,149 cm
Anasteysha Lee,Unknown,Russian,Caucasian,"January 1, 2005",2023,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,180 cm
Hannah Hays,Alicia Bennett,Unknown,Caucasian,"September 13, 1998",2017,B,32B,81,55 cm,81 cm,44 kg,154 cm
Dolly Little,Unknown,Unknown,Caucasian,"May 25, 1995",2015,A,28A,71,55 cm,81 cm,38 kg,144 cm
Michelle Anderson,Unknown,American,Black,"May 2, 2001",2020,B,34B,86,63 cm,96 cm,54 kg,157 cm
Jenni Lee,"FTV Jenny, Jenny Lee",Unknown,Caucasian,"February 11, 1982",2002,Unknown,34C,86,60 cm,88 cm,44 kg,157 cm
Evelyn Payne,Unknown,American,Caucasian,"February 11, 1998",2021,B,32B,81,60 cm,86 cm,50 kg,157 cm
Goldie Baby,"Olivia, Goldie G, Karen G., Ms White-Kitten, Helga Grey, Nikia",Unknown,Caucasian,"September 26, 1994",Unknown,DD,36DD,91,60 cm,86 cm,40 kg,152 cm
Hope Harper,Crosby,Unknown,Caucasian,"October 23, 1993",2015,B,32B,81,58 cm,76 cm,43 kg,149 cm
Lisa Sparxxx,"Lisa Sparxx, Lisa Sparkxxx, Lisa Sparx",Unknown,Caucasian,"October 6, 1977",2002,Unknown,Unknown,Unknown,Unknown,Unknown,72 kg,172 cm
Ember Springs,"Olivia McCray, Ember, FunFlare",American,Caucasian,1996,2024,D,32D,81,76 cm,91 cm,66 kg,167 cm
Loulou Petite,"Lou Lou, Lou Lou Davies, Louise Davies",Unknown,Caucasian,"September 29, 1987",Unknown,G,32G,81,66 cm,71 cm,48 kg,154 cm
Melania Dark,Unknown,Unknown,Unknown,"February 3, 1998",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Lexi Love,"Lexi Lane, Lexxi Love, Lexi Jones, Lexy Love, Lexi Luv",Unknown,Caucasian,"December 23, 1980",2005,Unknown,Unknown,Unknown,Unknown,Unknown,45 kg,149 cm
Maya Labella,"Marika Labela, Maya Labela",Unknown,Unknown,"August 6, 1993",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Candy White,Cindy White,Unknown,Caucasian,"January 4, 2000",2019,A,34A,86,60 cm,86 cm,49 kg,162 cm
Veronica Perasso,Unknown,Unknown,Caucasian,"August 7, 1997",2020,Unknown,Unknown,86,Unknown,Unknown,Unknown,Unknown
Bambi Blessed,Yeva,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Linda Caprice,Linda Lee,Unknown,Caucasian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,167 cm
Aria Lee,Unknown,Unknown,Latin,"June 7, 2000",2008,A,32A,81,63 cm,91 cm,56 kg,157 cm
Amber Lynn Bach,"Amber at Home, Amber Bach, Busty Amber, AmberLynn Bach",Unknown,Caucasian,"July 3, 1972",2002,Unknown,Unknown,Unknown,Unknown,Unknown,55 kg,160 cm
Lala Ivey,Unknown,Unknown,Black,"July 14, 1998",2017,C,32C,81,60 cm,86 cm,59 kg,167 cm
Alexis Blaze,Alexa Blaze,Unknown,Caucasian,"February 5, 1992",2010,C,36C,91,60 cm,86 cm,49 kg,154 cm
Alison Star,"Alison Lohman, Allison Star, Izabella Varga",Unknown,Caucasian,"October 18, 1985",2008,DD,36DD,91,58 cm,83 cm,41 kg,157 cm
Violette Blakk,Unknown,Unknown,Caucasian,"October 6, 1983",2019,C,34C,86,Unknown,Unknown,65 kg,167 cm
Karlie Simone,Karlie Simon,Unknown,Caucasian,"August 22, 1987",2005,D,34D,86,63 cm,91 cm,54 kg,162 cm
Nataly Gold,"Stacey Gilmore, Morgan Nubiles",Unknown,Caucasian,"December 9, 1988",2010,A,32A,81,66 cm,91 cm,59 kg,175 cm
Louise Jenson,Unknown,Unknown,Caucasian,"July 24, 1990",2011,HH,30HH,76,55 cm,76 cm,49 kg,165 cm
Angelina Valentine,Angle Valentine,Unknown,Latin,"September 19, 1986",2007,Unknown,Unknown,Unknown,Unknown,Unknown,51 kg,162 cm
Sofia Ferrar,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Krystal Davis,Sexybooty101,Unknown,Asian,"April 18, 1973",Unknown,DDD,34DDD,86,71 cm,96 cm,Unknown,152 cm
Elle Brooke,Unknown,Unknown,Caucasian,"January 12, 1998",2018,C,36C,91,66 cm,91 cm,54 kg,157 cm
Alana Rose,Unknown,Unknown,Caucasian,"February 4, 2003",2021,B,38B,96,66 cm,96 cm,Unknown,157 cm
Felicity Feline,"Cosmo Chameleon, Felicity Fueled, Felicity Felina, Feliciti Feline, Felicity Fox",Unknown,Caucasian,"July 21, 1992",Unknown,C,34C,86,60 cm,86 cm,54 kg,167 cm
Kelly Oliveira,Kelly Oliviera,Brazilian,Latin,"August 10, 2002",2021,DD,36DD,91,63 cm,96 cm,Unknown,154 cm
Abby Adams,Unknown,Unknown,Caucasian,"September 21, 1998",2018,C,33C,83,63 cm,83 cm,54 kg,154 cm
Grace Elizabeth,Unknown,Unknown,Caucasian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Everly Haze,Unknown,Unknown,Caucasian,"April 14, 2001",2020,C,32C,81,60 cm,86 cm,54 kg,167 cm
Vivian Foxx,Vivian Fox,Unknown,Caucasian,"January 1, 1996",2021,DD,34DD,86,63 cm,88 cm,56 kg,165 cm
Taylor Vixen,Taylor Vixxxen,Unknown,Caucasian,"October 25, 1983",2009,Unknown,Unknown,Unknown,Unknown,Unknown,54 kg,154 cm
Jess West,Unknown,Unknown,Caucasian,Unknown,2009,B,34B,86,60 cm,76 cm,54 kg,154 cm
Tyler Faith,Unknown,Unknown,Caucasian,"April 3, 1975",2002,D,34D,86,63 cm,88 cm,53 kg,165 cm
Luscious Lopez,"Rosalia Murillo, Lucious Lopez, Jazmin Jizzstick",American,Latin,"September 4, 1981",2004,B,36B,91,60 cm,96 cm,59 kg,162 cm
Mimi Babe,Amelia Riven,Unknown,Caucasian,January 1,2022,B,35B,88,63 cm,91 cm,Unknown,172 cm
Arielle Faye,Arielle Fay,Unknown,Caucasian,"December 15, 1992",2017,A,32A,81,58 cm,86 cm,43 kg,149 cm
Niemira,"Taisiya Andreeva, Mira Niemira, Niemira Foxx",Ukrainian,Caucasian,"May 19, 1992",2015,C,34C,86,66 cm,83 cm,49 kg,167 cm
Bryona Ashly,Unknown,Unknown,Caucasian,"January 1, 1995",2021,C,33C,83,60 cm,88 cm,52 kg,167 cm
Morgan Rodriguez,"Lucyx, Greta, Lucka, Morgan R, Lucie, Ornella Morgan",Unknown,Caucasian,"February 23, 1997",Unknown,C,32C,81,71 cm,91 cm,59 kg,162 cm
Ophelia Fae,Unknown,Unknown,Caucasian,"August 27, 2000",2025,C,32C,81,60 cm,93 cm,58 kg,170 cm
Virgo Peridot,Unknown,Unknown,Caucasian,"August 31, 1979",2014,B,34B,86,71 cm,119 cm,59 kg,162 cm
Stephanie Michelle,Unknown,Unknown,Caucasian,"November 26, 1984",Unknown,L,32L,81,68 cm,116 cm,67 kg,165 cm
Lilly James,Unknown,Unknown,Caucasian,"January 7, 1973",2018,DD,36DD,91,68 cm,88 cm,54 kg,160 cm
Sefi Kai,Sefi Caria,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Elisa Swan,"Francesca Collins, Elise Swan, Eliza Nocturna",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sumiko Smile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sonya Elf,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Natasha Voya,Unknown,Unknown,Caucasian,"January 22, 1989",2013,C,32C,81,60 cm,81 cm,51 kg,167 cm
Melody Jordan,Rachel,Unknown,Caucasian,"October 5, 1991",2012,Unknown,Unknown,Unknown,Unknown,Unknown,66 kg,172 cm
Nina Capel,Unknown,Unknown,Unknown,"January 29, 1999",2024,H,36H,91,66 cm,106 cm,68 kg,157 cm
Ryder Rey,Unknown,American,Unknown,"January 9, 1995",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,49 kg,162 cm
Brittany Shae,Unknown,Unknown,Caucasian,"July 15, 1991",2015,B,32B,81,63 cm,91 cm,56 kg,162 cm
Molly Kit,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Asuna Fox,"Luna Fae, Magdalena Sophia Banks, Asuna Rose",American,Caucasian,"November 15, 1997",2018,A,34A,86,55 cm,86 cm,41 kg,162 cm
Kiki Daire,"Keki D'Aire, Kike Daire, Jennifer Bearden, Kiki Dare, Keki D'Air, Keki Dare",Unknown,Caucasian,"September 18, 1976",1998,Unknown,Unknown,Unknown,Unknown,Unknown,48 kg,154 cm
Princess Anna,Anna Sophie,Unknown,Caucasian,"December 8, 1983",2022,Unknown,Unknown,86,60 cm,91 cm,53 kg,157 cm
Ayumi Anime,Unknown,Unknown,Asian,"October 17, 1989",2017,C,34C,86,63 cm,81 cm,51 kg,170 cm
Loren Strawberry,Unknown,Unknown,Caucasian,"July 12, 2000",2020,D,34D,86,76 cm,66 cm,Unknown,162 cm
Holly West,Holy West,American,Latin,"March 19, 1980",2007,D,34D,86,66 cm,88 cm,51 kg,154 cm
Alice Thunder,Unknown,Unknown,Latin,"March 26, 1998",2024,B,36B,91,Unknown,Unknown,58 kg,Unknown
Blondie Bombshell,Blondie Banks,Unknown,Caucasian,"June 11, 1990",2020,DD,32DD,81,60 cm,86 cm,63 kg,177 cm
Susy Gala,"Susi Gala, Susy G",Spanish,Caucasian,Unknown,2011,D,36D,91,63 cm,88 cm,54 kg,172 cm
Inna Sea,Unknown,Unknown,Caucasian,1996,Unknown,B,33B,83,66 cm,88 cm,55 kg,Unknown
Emerald Love,Emerald Loves,Unknown,Asian,"June 24, 1996",Unknown,Unknown,Unknown,91,68 cm,81 cm,Unknown,Unknown
Evi Fox,"Evi Foxx, Evi Medina",Unknown,Caucasian,"July 19, 1990",Unknown,DD,32DD,81,58 cm,68 cm,51 kg,154 cm
Victoria Nova,Unknown,French,Caucasian,"February 22, 1971",2022,G,14G,35,25 cm,35 cm,54 kg,167 cm
Gatita Veve,"Valentina Valencia, La Gatita38",Chilean,Latin,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,159 cm
Katy Ann,Unknown,Unknown,Caucasian,"February 22, 1990",2011,J,43J,109,66 cm,101 cm,59 kg,170 cm
Amia Miley,"Amia Moretti, Abbey, Amea Moretti, Miss Moretti, Ileana",American,Caucasian,"November 23, 1990",2009,D,30D,76,58 cm,81 cm,43 kg,160 cm
Angel Grave,Unknown,American,Caucasian,"October 26, 1972",2021,Unknown,Unknown,91,68 cm,88 cm,61 kg,172 cm
Brooke Wylde,"Allison Blake, Brooke White, Brooke Wyld",American,Caucasian,"May 31, 1995",2013,E,36E,91,66 cm,93 cm,56 kg,170 cm
Ann Joy,Anna Joy,Finnish,Caucasian,"May 19, 1996",2020,Unknown,Unknown,Unknown,Unknown,Unknown,54 kg,170 cm
Bambi Barton,Unknown,American,Caucasian,"September 1, 2000",2022,C,36C,91,60 cm,91 cm,69 kg,182 cm
Parker Skyes,Unknown,Unknown,Unknown,Unknown,Unknown,D,34D,86,Unknown,Unknown,Unknown,Unknown
Kagney Linn Karter,"Kagney Linn Karlen, Kagney Lin Karter, Kagney Lynn Karter, Kagny Linn Karter",American,Caucasian,"March 28, 1987",2008,D,36D,91,63 cm,91 cm,54 kg,162 cm
Holly Michaels,"Holly M, FTV Holly",American,Caucasian,Unknown,2011,D,34D,86,66 cm,91 cm,56 kg,180 cm
Nikki Sims,Next Door Nikki,American,Caucasian,"February 6, 1984",2004,DD,34DD,86,68 cm,86 cm,54 kg,162 cm
Alex De La Flor,Peppa Claus,American,Asian,"June 26, 1997",2017,C,32C,81,60 cm,81 cm,45 kg,154 cm
Breanne Benson,"Benedetta Hamzai, Breanne Grant",Unknown,Caucasian,"April 22, 1984",2003,C,32C,81,58 cm,88 cm,46 kg,154 cm
Sapphire Blue,"Megan Sweets, Saphire Blue",British,Caucasian,"July 30, 1990",2009,H,30H,76,73 cm,81 cm,61 kg,172 cm
Madi Meadows,"Madi Ii, Madi Moon",American,Caucasian,"December 27, 1996",2015,D,34D,86,66 cm,76 cm,53 kg,167 cm
Sadie Hartz,Unknown,Unknown,Caucasian,"December 4, 1998",2020,A,32A,81,55 cm,81 cm,30 kg,139 cm
Aleks Foks,Alex Fox,Russian,Caucasian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Wynn Ryder,"Wynn Rider, Vivian Godby Bauer",American,Caucasian,"November 17, 1993",2023,D,34D,86,60 cm,83 cm,49 kg,165 cm
Nessa Devil,"Nesa Devil, Nikola Jiraskova, Nicola Begaltsis",Czech,Caucasian,"December 9, 1988",2007,E,34E,86,60 cm,86 cm,48 kg,172 cm
Jessie Volt,"Jessi Volt, Jessie V, Jesse Volt, Jessie Voft, Jessy Volt, Elma",Unknown,Caucasian,"March 29, 1990",2010,B,32B,81,60 cm,91 cm,48 kg,154 cm
Sydney Sweeney,Unknown,American,Caucasian,"September 12, 1997",2009,D,35D,88,60 cm,83 cm,49 kg,160 cm
Diana Grace,Unknown,Unknown,Caucasian,"August 24, 1993",2019,B,34B,86,63 cm,76 cm,56 kg,162 cm
Carol Goldnerova,"Carol Gold, Paula Summers, Katy Gold, Carol Masters",Unknown,Caucasian,"November 25, 1979",2006,Unknown,Unknown,Unknown,Unknown,Unknown,62 kg,172 cm
Molly Jane,Unknown,American,Caucasian,"October 9, 1993",2014,DDD,32DDD,81,60 cm,91 cm,56 kg,170 cm
Edyn Blair,Unknown,Unknown,Caucasian,"July 7, 1988",2014,Unknown,Unknown,Unknown,Unknown,Unknown,59 kg,162 cm
Renata Fox,"Rebecca Fox, Renata H, Bianka, Elnara Cat",Russian,Caucasian,"August 25, 1996",2015,C,30C,76,60 cm,83 cm,Unknown,154 cm
Lucy Laistner,Unknown,Unknown,Caucasian,"June 11, 2001",2019,L,32L,81,68 cm,96 cm,75 kg,170 cm
Heather Vahn,"Heather Anne, Heather Vaughn",Unknown,Caucasian,"September 26, 1988",2008,Unknown,Unknown,Unknown,Unknown,Unknown,49 kg,157 cm
Sicilia Crane,"Marie Silvia, Sicilia Model",Hungarian,Caucasian,"December 13, 1986",Unknown,B,35B,88,60 cm,88 cm,48 kg,160 cm
Leah Lee,Unknown,Unknown,Caucasian,"July 25, 1999",2019,C,36C,91,60 cm,86 cm,Unknown,165 cm
Rachele Richey,"Rachel Richey, Ashley Wisdom, Rachelle Richey",Unknown,Caucasian,"December 20, 1994",Unknown,DDD,34DDD,86,60 cm,76 cm,48 kg,157 cm
Rose Rush,"Destiny Marie, Wetty Paradise",American,Mixed,"March 7, 2003",2023,D,34D,86,60 cm,86 cm,51 kg,162 cm
Alyce Anderson,Unknown,Unknown,Caucasian,"February 23, 1999",2017,C,32C,81,66 cm,93 cm,51 kg,157 cm
Antonia Jay,Unknown,British,Caucasian,"January 1, 1996",2023,Unknown,Unknown,Unknown,Unknown,Unknown,55 kg,165 cm
Eva Berger,"Margo, Bertie A, Eva Ginger, Jasmine, Nika, Nada, Emmanuel A, Slave Nn, Red Sonja, Margo C",Unknown,Caucasian,"May 25, 1989",2014,A,40A,101,63 cm,91 cm,Unknown,172 cm
Casey Deluxe,"Sexy Casey, Casey Meyer",Unknown,Caucasian,"November 20, 1985",2011,H,30H,76,60 cm,81 cm,51 kg,165 cm
Tarra White,"Martha, Susie, Tara White, Chrissy, Terry White, Martina Mrakviova, Martina MrakviovÃƒÂ¡, Tarra Light, Tarah White, Terra Withe, Terra, Chrissy A, Martina, Marianna, Martina MrakviovÃ¡",Czech,Caucasian,"November 19, 1987",2005,DD,34DD,86,60 cm,88 cm,49 kg,167 cm
