Name,Aliases,Nationality,Ethnicity,Date of Birth,Career start,Weight,Height
Ralf Christian,"Tony Art, Chuck, Artem Turkov, Art, Frankie G, Thommy, Ben, Artie, Artyom",Russian,Caucasian,"May 20, 1988",Unknown,Unknown,Unknown
Colten Corso,"Colty Corso, Colton Corso",Unknown,Latin,"June 9, 1993",2025,86 kg,180 cm
Jessy Jones,"Jesse Jones, Jessie Fuck, Jessie Jones, Jessy",Chilean,Caucasian,"July 1, 1985",2010,74 kg,180 cm
Leo Valentino,Unknown,Unknown,Latin,"April 19, 1997",2024,66 kg,Unknown
Mugur,"Mugor, Mogur, Ivan, Mugur Porn, Murgur",Romanian,Caucasian,"July 15, 1978",2003,Unknown,172 cm
Uncut James,James Bloww,Unknown,Caucasian,"January 23, 1998",2022,81 kg,Unknown
Dino Bravo,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Peter Oh Tool,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Eric John,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Manuel Ferrera,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Vic Lowery,"Vic, Vic Lowry",American,Black,"August 25, 1986",2020,94 kg,182 cm
Chris Damned,Unknown,French,Caucasian,"August 6, 1990",2020,Unknown,187 cm
Alpha Wolfe,Persian Wolf,American,Caucasian,"May 26, 1985",Unknown,92 kg,190 cm
Justin Hunt,"Justin, Justin Long",American,Caucasian,"November 18, 1988",2013,74 kg,187 cm
Will Havoc,Rubie Havoc,Unknown,Caucasian,Unknown,Unknown,74 kg,180 cm
Sly Diggler,Unknown,American,Black,"August 14, 1997",2019,78 kg,170 cm
Slim Dark,Unknown,American,Black,"April 30, 1994",2023,77 kg,175 cm
Max Dior,"Kevin Arbor, Max, Max Dyor, Shane Barrett, Maxmilian Dior, Shane, Scott Reeves, Maximilian Dyor, Albert Masak",Czech,Caucasian,"May 18, 1989",2011,74 kg,180 cm
Johnny B,Unknown,American,Caucasian,"July 25, 1996",Unknown,91 kg,187 cm
Jason Carrera,Unknown,Venezuelan,Latin,"February 18, 1997",2020,Unknown,Unknown
Rico Strong,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Paul Black,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Conny Dachs,Unknown,German,Caucasian,"December 13, 1963",Unknown,Unknown,Unknown
Jordan Ash,Unknown,Unknown,Unknown,1978,Unknown,Unknown,Unknown
Martin Spell,"Martin Spen, Andrew Farrell",Russian,Caucasian,"June 10, 1998",2019,69 kg,180 cm
Mandingo,"Fred Foolish, Big Dick Fred, Curtis, Fred Dingo",American,Black,"February 25, 1975",Unknown,Unknown,170 cm
Deep Threat,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Chris Strokes,Unknown,Unknown,Unknown,"November 27, 1985",Unknown,Unknown,Unknown
Tommy Wolff,Bobby Smyrna,Unknown,Caucasian,"September 13, 1996",2024,77 kg,Unknown
Francis X,Unknown,Italian,Latin,Unknown,2023,89 kg,185 cm
Mickey Mod,MickeyMod,American,Black,"September 23, 1979",2009,Unknown,185 cm
Charlie Patterson,"Dillon Smith, Charlie, Elder Quaid, Miles, Charlie Paterson, Charlie Pattinson",American,Caucasian,"January 6, 1995",2014,77 kg,177 cm
Derek Kage,Derek Cage,American,Caucasian,"May 29, 1984",Unknown,91 kg,182 cm
Austan T,Unknown,Unknown,Caucasian,"July 6, 1997",2024,68 kg,Unknown
Calvin Hardy,Unknown,American,Caucasian,Unknown,2019,69 kg,177 cm
Tyce Bune,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Adrian Hart,Logan Heart,American,Black,"February 1, 1989",Unknown,67 kg,160 cm
Bossmane Dre,Bo$$mane Dre,Unknown,Black,"April 2, 1992",2024,88 kg,Unknown
Spikey Dee,Unknown,American,Caucasian,"March 7, 2002",2022,Unknown,Unknown
Buster Good,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Cory Strokes,Unknown,Unknown,Black,"September 5, 2001",2024,77 kg,Unknown
Peter North,Unknown,Unknown,Caucasian,"May 11, 1957",1983,92 kg,180 cm
Tony Carrera,"Mark Ferri, Christophe Kdo, Jean Philippe, Toni Carrera, Titus Woller",French,Caucasian,"October 26, 1970",Unknown,Unknown,175 cm
Tyler Steel,"Tyler Steele, Tyler Page",Unknown,Caucasian,"October 14, 1986",2011,73 kg,152 cm
Ike Diezel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Mike Hunt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Billy Glide,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Neeo,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Michael Stefano,"Mike Stefano, Micheal Stefano, Mike Long, Michael Stephano, Michael Long",Unknown,Unknown,"August 29, 1969",Unknown,Unknown,Unknown
Tony James,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
D Snoop,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Marco Bull,Unknown,Spanish,Caucasian,"January 1, 1998",2021,Unknown,Unknown
Donny Long,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Guy Disilva,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kane Kobang,Unknown,American,Black,"September 24, 1999",2024,82 kg,190 cm
Roman Todd,Unknown,American,Caucasian,Unknown,Unknown,86 kg,185 cm
Treyy Vunt,Unknown,Unknown,Black,"July 27, 2001",2025,56 kg,180 cm
Chris Cock,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Juan Cuba,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Robert Axel,"Pittbul, Robert Christian, Robert Christin, Robert Miner, Michael Vineland",American,Black,Unknown,Unknown,97 kg,187 cm
Coach Cardher,"Flexx, Pristine Bull, SeazonedBee, 420 Bangus, Flex Fitcock",American,Black,"November 9, 1965",2019,73 kg,172 cm
Casey Conrad,Brett Geo,Unknown,Caucasian,"November 23, 1993",2025,77 kg,Unknown
Prince Yahshua,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jacob Steel,"Bambino, Lee, Jose",American,Latin,"March 28, 1988",2010,91 kg,175 cm
Sean Michaels,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Franco Roccaforte,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kris Knight,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jans Laver,Unknown,Colombian,Latin,Unknown,Unknown,Unknown,Unknown
David Bander,Unknown,Colombian,Latin,Unknown,Unknown,Unknown,Unknown
Buck Wylde,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Broc Adams,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Liam Cyber,Unknown,American,Black,November 17,Unknown,58 kg,170 cm
Maxx Jenkins,Unknown,American,Black,Unknown,Unknown,Unknown,Unknown
Xavi Photo,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Dick James,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alberto Rey,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Rauls Bud,Unknown,Spanish,Caucasian,Unknown,2023,Unknown,Unknown
Darren Blaze,Unknown,Unknown,Black,"May 11, 1992",2024,74 kg,Unknown
Reda Semlahen,Rada Palos,"Algerian, French",Caucasian,"January 25, 1966",Unknown,Unknown,Unknown
Rawdawg Cash,Unknown,American,Black,"January 7, 2006",2024,63 kg,165 cm
Marc Cummings,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Scott Trainor,Unknown,American,Caucasian,"March 4, 1971",2023,91 kg,180 cm
Arin Jones,Unknown,Unknown,Asian,"September 24, 1999",2025,73 kg,Unknown
Shane Diesel,"Shane 'Sol' Diesel, Shane, Shane D, Big Shane",American,Black,"July 28, 1963",2003,97 kg,177 cm
Greg Centauro,"Greg Centaureau, Greg Centaurio, Dru Capone, Gerg Centoro, Greg Santauro, Bruno Pelliti",French,Caucasian,"January 10, 1977",2000,Unknown,170 cm
Wesley Pipes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Thomas Stone,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jay Raw,Unknown,Unknown,Latin,"November 26, 2005",2024,Unknown,Unknown
Bishop Delonte,Unknown,Canadian,Black,July 18,2017,63 kg,177 cm
J Mac,Unknown,Unknown,Caucasian,"March 12, 1985",Unknown,Unknown,Unknown
Robert Rosenberg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Andy Mann,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Johnny Love,"Johnny The Kid, Myles Long",American,Latin,Unknown,2018,6 kg,170 cm
Jay Smooth,Unknown,Polish,Caucasian,"March 12, 1986",2013,90 kg,477 cm
David Candle,Unknown,Unknown,Latin,Unknown,Unknown,Unknown,Unknown
Kenzo Alvarez,James,Canadian,Latin,March 17,Unknown,Unknown,170 cm
Drake Knight,Unknown,Unknown,Caucasian,Unknown,Unknown,Unknown,Unknown
Cyrus King,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bryan De Ferro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Mikey Butders,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ron Jeremy,"Rolf Bomp, David Elliot, R. J., Ron Silva, Ron Geremy, Ron Jeremey, Ronnie J, Ronnie Hyatt, David Elliott, Ronald Jeremy",American,Caucasian,"March 12, 1953",1979,82 kg,167 cm
Dave Candle,Dave Candel,Italian,Caucasian,Unknown,2022,Unknown,Unknown
Marc Kaye,Mark Kaye,British,Caucasian,"June 19, 1972",2017,Unknown,Unknown
Aaron Rock,Marcus Gomez,Dutch,Black,"April 19, 1984",Unknown,82 kg,172 cm
Franco Styles,Unknown,American,Caucasian,"January 11, 1983",2020,76 kg,182 cm
Mike Oxlong,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kai Bailey,Unknown,American,Caucasian,"April 20, 1953",Unknown,Unknown,182 cm
Timo Hardy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kris Kixxx,"Kris K, Kris K xxx, Krisk XXX",American,Black,"December 17, 1996",2021,78 kg,187 cm
Frankie Young,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Lancelot,SsLancelot,Colombian,Black,Unknown,Unknown,Unknown,180 cm
Tony Rope,Unknown,Unknown,Black,Unknown,2024,Unknown,Unknown
Chad Diamond,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Boz,"Bows, Boz The Beast, Box",American,Black,"February 13, 1971",Unknown,58 kg,165 cm
Dustin Daring,Unknown,American,Caucasian,"February 12, 1995",Unknown,82 kg,190 cm
Julius Ceazher,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ben Dover,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Rico Simmons,"Ricco Simmons, Rico Simons",Unknown,Caucasian,"September 16, 1976",Unknown,Unknown,Unknown
Carlos Dickinson,Unknown,American,Latin,Unknown,2023,Unknown,Unknown
Barry Scott,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Gerald Vi,"Toni Bill, Abel, Toni Bil, Tony Bill",Unknown,Caucasian,"September 15, 1997",Unknown,77 kg,182 cm
Hugo,"Hugo Sperminator, Hugo North, Sperminator",Dutch,Caucasian,Unknown,Unknown,Unknown,Unknown
Jimmy Dix,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Johnny Xl,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
James Black,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kevin Long,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Henk,Unknown,Dutch,Caucasian,Unknown,Unknown,Unknown,Unknown
Amone Bane,Unknown,Unknown,Mixed,"March 27, 1993",2019,79 kg,Unknown
Rockhardo Black,Unknown,Unknown,Black,"April 3, 1986",2001,30 kg,457 cm
Matt Bishop,Unknown,American,Black,Unknown,Unknown,Unknown,Unknown
Sean Lawless,Sean Payton,American,Caucasian,"July 31, 1989",2010,94 kg,187 cm
Parker Savage,Unknown,Unknown,Caucasian,"May 27, 1997",2025,81 kg,Unknown
Mark Lax,Unknown,Unknown,Caucasian,"August 27, 1983",2025,120 kg,Unknown
Jay Scarman,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
John Bishop,"Dirty Dog, John, Ian, John Petty, Chuck Loads",British,Caucasian,"June 1, 1966",1996,Unknown,172 cm
Loupan Xxx,Loupan,Unknown,Latin,"April 18, 1984",2004,Unknown,Unknown
Martin X,"Martin T, Martin, Martin Martinelli",Ukrainian,Caucasian,"October 23, 1988",2015,Unknown,Unknown
Bodo,"Bodo Burner, Jan-Martin K, Bodo Banger",German,Caucasian,"December 5, 1983",Unknown,Unknown,Unknown
Cali Deep,Unknown,Unknown,Latin,"May 4, 1989",2025,74 kg,Unknown
Wrex Oliver,"Wrex (jamiefosterstrips.com), Jimmy Deep",Unknown,Caucasian,Unknown,2015,74 kg,177 cm
Toni Ribas,Unknown,Unknown,Unknown,"June 13, 1975",Unknown,Unknown,Unknown
Brick Danger,Unknown,American,Caucasian,"August 29, 1988",2011,77 kg,177 cm
Rico Shades,"Shades, Ricardo Shades",American,Black,Unknown,Unknown,Unknown,Unknown
Matt Bird,"Johnny Wakeup, Laslo, Daniel Halasz, Jarkal, Jon Axe, Lazlo, Laszlo, Ted Lauter, Lucky Luke, Matt Denae, Alan Perrish",Hungarian,Unknown,Unknown,Unknown,Unknown,Unknown
Smash Thompson,Smash Tafarih,American,Black,"December 16, 1987",Unknown,94 kg,172 cm
Riley Mitchell,"Riley, Riley Mitchel",American,Caucasian,"September 29, 1986",2018,83 kg,175 cm
Kike Star,Unknown,Spanish,Caucasian,Unknown,2020,Unknown,Unknown
Stanley Johnson,"Stanley Jones, Stanley Johnosn",Russian,Caucasian,"July 17, 1986",2019,Unknown,Unknown
Leo Santos,Unknown,Brazilian,Latin,"October 1, 1996",Unknown,Unknown,Unknown
Tony Michaels,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tony Martinez,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Steven Lee,Unknown,American,Caucasian,"October 21, 1991",Unknown,Unknown,187 cm
Igor Pikachu,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jay R,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Roger Smore,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ivor Badcock,"Marlon, Senzi, The Dirty Cleaner, Sensi",British,Black,"April 4, 1973",Unknown,79 kg,182 cm
Chris Mountain,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Lefty Larue,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ricky Mancini,"Ricki Mancini, Marcel Pignom, Marcel Pignol, Ricky Manccini",French,Caucasian,"February 27, 1986",Unknown,78 kg,177 cm
Nacho Vidal,"Nacho, Nachos Camachos, Nachu",Spanish,Caucasian,"December 30, 1974",1997,78 kg,180 cm
Trevor Zen,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ruckus,Unknown,American,Caucasian,"December 1, 1988",2013,Unknown,190 cm
Nat Turnher,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Vadim Muromtsev,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tony Genius,Unknown,Unknown,Mixed,"June 7, 1990",Unknown,79 kg,177 cm
Pov Joe,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kamil Klein,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Cedric Fato,Cedrick Fato,French,Caucasian,"May 12, 1975",Unknown,Unknown,Unknown
Marco Rivera,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Barrett Blade,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
King Frank,Unknown,American,Black,"June 15, 1998",2023,98 kg,Unknown
Brandon Lee Harrington,Brandon Harrington,American,Black,June 13,Unknown,Unknown,Unknown
Johnny Slovak,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Josue Fit,Unknown,Unknown,Latin,"May 11, 2000",2024,83 kg,177 cm
Tommy Gold,"Edmund, Timmy, Tony Gold, Bruno Porta",Russian,Caucasian,"June 7, 1999",Unknown,69 kg,177 cm
Eric Swiss,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Drake Von,"Dawson Bacon, Drake Yuri",American,Caucasian,"November 8, 2002",Unknown,66 kg,172 cm
Milos Savic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tone Capone,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Nick Leykis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Mark Zebro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
David Taylor,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Oliver Sanchez,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Paulo Bangkok,"Bams Kok, Vankok, Bangkok, Van Kok",Spanish,Latin,"March 2, 1993",Unknown,Unknown,170 cm
Nova Taylor,Unknown,American,Black,"March 10, 1995",Unknown,77 kg,172 cm
Dick Delaware,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jack Spade,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Don Fernando,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tyler Wood,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Viktor Blizzard,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Rocco Maltesi,Unknown,Italian,Caucasian,Unknown,2022,Unknown,Unknown
Heath Austin,Unknown,Unknown,Caucasian,Unknown,Unknown,Unknown,Unknown
Jasper Woodcock,Unknown,American,Caucasian,Unknown,Unknown,Unknown,Unknown
Charlie Mac,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Marcus London,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tony Orlando,Sissy Tanya,American,Caucasian,Unknown,Unknown,63 kg,182 cm
Tommy Utah,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tyler Durden,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Talon,"Cliff Cummings, Lex Baldwin, Talon Valenti",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Justin Long,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tee Reel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Choky Ice,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Joel Someone,"Elder Someone, Joel Morri",American,Caucasian,Unknown,2018,76 kg,177 cm
King Noire,"Hasan Salaam, Jesus",American,Black,"January 12, 1981",Unknown,76 kg,180 cm
Christian Clay,"Sancio L'Orco, Cristiano Ferri, Christian Devil, Christian Duro, Christian David, Christian Neri, Chris Clay, Cristian Clay",Unknown,Unknown,1979,Unknown,Unknown,Unknown
Mark Marais,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alec Knight,"Alec T. Shag, Alec Night, Alex Knight, Howie Wood",Unknown,Unknown,"June 13, 1972",Unknown,Unknown,Unknown
Tony Desergio,Unknown,Unknown,Unknown,"July 19, 1966",Unknown,Unknown,Unknown
J. Monty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jack Kallahari,Unknown,Unknown,Latin,"April 23, 1991",2016,Unknown,Unknown
Andre Stone,Unknown,American,Black,Unknown,Unknown,Unknown,Unknown
Mike Angelo,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tommy Parker,Unknown,Unknown,Caucasian,"May 14, 1993",2024,36 kg,464 cm
Noah Eden,"Neo Davis, Liam Rose",Czech,Caucasian,Unknown,Unknown,59 kg,175 cm
Damson Jenkins,Unknown,Unknown,Black,"July 21, 1997",2025,97 kg,Unknown
Eric Stone,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Omar Galanti,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Luke Cooper,Unknown,American,Caucasian,"May 16, 1995",2019,86 kg,182 cm
Alex Adams,"Adam, Gary, Jake",American,Caucasian,"January 10, 1987",Unknown,Unknown,Unknown
Pascal White,Unknown,Unknown,Unknown,"December 10, 1971",Unknown,83 kg,182 cm
Byron Long,Unknown,Unknown,Black,Unknown,Unknown,Unknown,Unknown
Flash Brown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Mike Adriano,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Dirty Harry,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Denis Reed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jay Jay,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jamie Stone,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Brick Majors,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Evan Stone,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Georgio Black,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
James Duval,Unknown,French,Caucasian,Unknown,Unknown,Unknown,Unknown
Logan Pierce,"Logan, Abu","Italian, American",Caucasian,"October 17, 1990",2012,63 kg,172 cm
Jeremy Smith,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jim Slip,"Robert D'Arcy, Robert Darcy, Archibald Bigglesworth",British,Caucasian,Unknown,1998,Unknown,Unknown
Pablo Ferrari,Pablo,Spanish,Caucasian,"January 17, 1978",2011,77 kg,180 cm
James Brossman,"James Brosman, Jones Brossman, Jimmy Grossman, James Brossmon",Unknown,Caucasian,"September 22, 1975",Unknown,Unknown,Unknown
Don Picone,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
David Road,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Justin Magnum,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tony Brooklyn,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Derek Atlas,Unknown,American,Caucasian,"November 3, 1982",Unknown,99 kg,182 cm
Blake Rivers,Unknown,Unknown,Latin,"December 25, 1998",2024,79 kg,Unknown
Dillon Day,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Dru Will,Unknown,American,Black,Unknown,Unknown,Unknown,Unknown
Maestro Claudio,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Gorgeous Drae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Mike Horner,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Paul Chaplin,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Pat Myne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Leny Ewil,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Buck Angel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kai Taylor,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Shorty Mac,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Keni Styles,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Brad Tyler,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jon James,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Brad Baldwin,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alex Gonz,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jamie Barry,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Lee Stone,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Johnny Cobalt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ian Tate,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Brian Surewood,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Steve Drake,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Will Steiger,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Mike Hash,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Steven French,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alex Sanders,Unknown,Unknown,Unknown,"March 7, 1966",Unknown,Unknown,Unknown
Djurica Stankov,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arnold Schwartzenpecker,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Falco Zito,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Doryann Marguet,"Doryanne, Yoyo, Doryann Gray, Doryan, Doriann, Doryann Margret, Mec Two, Doryann Maguet",French,Caucasian,"February 14, 1983",Unknown,72 kg,177 cm
John E. Depth,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Billy Raw,Unknown,American,Caucasian,"July 3, 1984",Unknown,99 kg,193 cm
Chris Charming,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sledge Hammer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Nico Blade,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jon Q,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bradley Remington,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alex Duca,Ryan Bones,Unknown,Caucasian,"May 7, 1991",2017,102 kg,Unknown
Jack Rippher,"J. Rippher, Jack Ripper",American,Black,"April 27, 1994",2020,82 kg,182 cm
Rick Masters,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tony T,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Andrew Andretti,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Joss Lescaf,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Giovanni Francesco,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Michael Chapman,"Mike Cavallo, Kevyn Green, Mike Grant, Mike Chapman, Steven Johnson, Mike XL",American,Black,"November 7, 1957",Unknown,Unknown,Unknown
Jake Malone,Unknown,Unknown,Caucasian,"June 21, 1952",Unknown,Unknown,Unknown
Marcelo,Unknown,Unknown,Caucasian,"March 18, 1984",Unknown,69 kg,172 cm
Rob Carpenter,Camden Connors,American,Caucasian,"November 30, 1991",Unknown,77 kg,172 cm
Jean-Yves Le Castel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jazz Duro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Will Powers,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Drago Gvozdik,"Egor, Drogo, Leo Dee, Edward, Igor",Russian,Caucasian,"July 29, 1992",Unknown,78 kg,182 cm
Nick Lang,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
